stage	type	logexpr
2cell	before	2.17055885277
2cell	now	1.91088382713
2cell	before	3.62484214068
2cell	now	0.805158033622
2cell	before	0.827651849397
2cell	now	2.48483164698
2cell	before	1.76926331765
2cell	now	2.26252218529
2cell	before	2.14759305933
2cell	now	1.07578709803
2cell	before	1.87190678681
2cell	now	1.38992277047
2cell	before	3.46817978908
2cell	now	1.96785054572
2cell	before	2.45769816671
2cell	now	1.63546621796
2cell	before	1.99250334383
2cell	now	2.08774075772
2cell	before	1.84106220043
2cell	now	5.00493910155
2cell	before	2.74673230769
2cell	now	2.06423145252
2cell	before	2.1097403613
2cell	now	1.43660717499
2cell	before	1.9079634811
2cell	now	1.2139686787
2cell	before	1.12109432966
2cell	now	1.40776716153
2cell	before	2.33343044592
2cell	now	3.24647931868
2cell	before	2.74264484587
2cell	now	1.22418711158
2cell	before	1.18633618953
2cell	now	0.81768512812
2cell	before	1.8287613765
2cell	now	1.22027519529
2cell	before	0.719526175286
2cell	now	1.43188417152
2cell	before	1.2023625085
2cell	now	1.55250982501
2cell	before	1.18890383557
2cell	now	0.802037459268
2cell	before	0.969414350196
2cell	now	2.36197224358
2cell	before	3.8570133402
2cell	now	1.70217751842
2cell	before	1.57300004358
2cell	now	3.01928765438
2cell	before	3.84125713453
2cell	now	1.64350884976
2cell	before	2.89116033578
2cell	now	2.08275604265
2cell	before	2.7741874436
2cell	now	1.06477280403
2cell	before	2.25506362369
2cell	now	1.15170113675
2cell	before	1.09575487682
2cell	now	0.798920610957
2cell	before	2.05418527026
2cell	now	0.980582972687
2cell	before	0.725522401318
2cell	now	1.32357817851
2cell	before	0.791430209793
2cell	now	0.968609899873
2cell	before	2.77022969191
2cell	now	1.50539430705
2cell	before	3.71521948945
2cell	now	3.02479095075
2cell	before	3.36680950485
2cell	now	3.12590929657
2cell	before	3.22718123923
2cell	now	1.32131040746
2cell	before	1.84283590677
2cell	now	1.61509587593
2cell	before	1.38809773406
2cell	now	2.21259364363
2cell	before	0.908214204354
2cell	now	1.62027300029
2cell	before	2.61808902318
2cell	now	3.48777866618
2cell	before	4.73874782754
2cell	now	2.24096284872
2cell	before	1.74553924992
2cell	now	0.883209533272
2cell	before	1.63300794395
2cell	now	1.73259315856
2cell	before	1.30288829536
2cell	now	1.84934103427
2cell	before	2.19256373245
2cell	now	3.41350137612
2cell	before	4.14023051324
4cell	now	0.938838607134
4cell	before	1.49257595246
4cell	now	0.721107618719
4cell	before	1.05529412575
4cell	now	1.46344751343
4cell	before	1.11888212707
4cell	now	1.78180340503
4cell	before	1.92003101139
4cell	now	1.47764443733
4cell	before	1.13003666356
4cell	now	0.983859656697
4cell	before	1.97945820969
4cell	now	1.79079733986
4cell	before	2.35045102066
4cell	now	1.03527127246
4cell	before	1.0875479709
4cell	now	2.37460524431
4cell	before	2.48483164698
4cell	now	1.35669818318
4cell	before	1.35795404123
4cell	now	1.67674322746
4cell	before	1.56316986505
4cell	now	1.60383222991
4cell	before	1.6572580825
4cell	now	3.38390879152
4cell	before	3.49167468981
4cell	now	1.31304063937
4cell	before	2.58237359301
4cell	now	2.21324992719
4cell	before	2.58132227896
4cell	now	1.11541040694
4cell	before	1.68153529327
4cell	now	1.83839016056
4cell	before	1.14288751392
4cell	now	2.06988981887
4cell	before	2.71472123354
