stage	type	logexpr	level	num
MII	Normal	1.22941830416	0.41	1
MII	Change	1.3465447081	0.5	1
MII	Normal	3.76067672293	0.67	1
MII	Normal	6.07954410339	0.16	1
MII	Normal	2.61626380547	0.64	1
MII	Normal	0.00804183757055	0.31	1
MII	Normal	0.866175690442	0.67	1
MII	Normal	1.61100668127	0.67	1
MII	Change	0.191276342752	0.88	1
MII	Normal	4.25258685995	1.0	1
MII	Normal	2.79749472669	0.83	1
MII	Normal	3.79716419007	0.73	1
MII	Normal	2.09517462509	0.67	1
MII	Normal	1.559926188	0.35	1
MII	Normal	1.34797184447	0.58	1
MII	Normal	3.18091639596	0.84	1
MII	Normal	2.57128310303	0.67	1
MII	Normal	4.26352177607	0.38	1
MII	Change	0.853018608516	1.0	1
MII	Change	3.06439042236	0.5	1
MII	Change	5.20898329419	0.16	1
MII	Normal	3.14110021206	0.6	1
MII	Normal	1.97645875254	0.33	1
MII	Normal	2.8859955295	0.25	1
MII	Normal	0.455478650629	0.67	1
MII	Normal	2.31196694546	1.0	1
MII	Normal	2.57367273637	0.46	2
MII	Normal	2.22422779755	0.6	1
MII	Normal	3.54470880767	0.18	1
MII	Normal	0.562127488117	0.8	1
MII	Normal	1.40997182447	1.0	1
MII	Normal	2.84942822821	1.0	1
MII	Normal	2.0142814941	0.38	1
MII	Normal	5.36563016083	0.42	1
MII	Normal	2.01140624728	1.0	1
MII	Normal	3.13374486061	0.39	1
MII	Change	0.915057972338	0.67	1
MII	Normal	3.29835221837	0.37	1
MII	Normal	2.60390376297	0.81	1
MII	Normal	1.85490013883	0.25	1
MII	Normal	0.532114205309	1.0	1
MII	Normal	2.29278220127	0.67	1
MII	Normal	4.47625099792	0.51	1
MII	Normal	1.35736491079	1.0	1
MII	Normal	0.0806269062271	0.5	1
MII	Change	3.54734469122	1.0	2
MII	Normal	3.49208872185	0.496666666667	3
MII	Normal	1.36847910769	0.58	1
MII	Normal	3.07038509725	0.15	1
MII	Normal	2.3828194746	0.67	1
MII	Normal	4.60576600845	0.74	1
MII	Change	3.56480605051	0.87	1
MII	Normal	1.91082908429	0.2275	4
MII	Normal	2.07647088364	0.4	1
MII	Normal	3.75579483578	0.69	2
MII	Change	1.53204701892	1.0	1
MII	Normal	0.340859740292	0.29	1
MII	Change	1.78065976143	0.33	1
MII	Normal	3.73002139745	0.33	1
MII	Normal	2.61830053296	0.21	1
MII	Normal	2.55682412933	0.33	1
MII	Normal	1.61203453828	0.5	1
MII	Normal	2.88791875174	1.0	1
MII	Normal	3.31892023504	0.3	1
MII	Normal	0.191723882734	1.0	1
MII	Normal	0.9691222426	0.2	1
MII	Change	1.18589946096	0.17	1
MII	Normal	1.92769526063	0.5	1
MII	Normal	0.608002605465	1.0	4
MII	Normal	4.00460218672	0.22	1
MII	Change	2.41021902249	0.86	1
MII	Normal	5.45133025648	0.33	1
MII	Normal	2.25537817483	0.22	1
MII	Normal	0.0	1.0	1
MII	Normal	3.00538553058	0.24	1
MII	Normal	1.82523292929	0.5	1
MII	Normal	3.88481829015	0.755	2
MII	Normal	1.19293106811	0.94	1
MII	Normal	0.990328987312	1.0	1
MII	Normal	1.85062725459	0.45	1
MII	Normal	0.152321006996	1.0	1
MII	Normal	3.9427713911	0.508	5
MII	Normal	1.63015776601	0.24	2
MII	Normal	4.47371891413	0.78	1
MII	Change	0.207398648308	1.0	1
MII	Normal	1.88244838134	0.29	1
MII	Normal	5.43445972264	1.0	1
MII	Normal	2.51257045377	0.84	1
MII	Normal	4.58255027387	0.15	1
MII	Normal	1.06269491348	0.42	1
MII	Normal	1.60852149265	0.56	1
MII	Normal	2.33982788982	0.56	2
MII	Normal	2.93494138792	0.67	1
MII	Normal	6.01931071859	0.73	1
MII	Normal	0.0	0.53	1
MII	Normal	3.82565651137	0.68	1
MII	Normal	3.82418583302	0.82	1
MII	Normal	2.39384070048	1.0	1
MII	Normal	2.58250209517	0.5	1
MII	Normal	1.6369616356	0.29	1
MII	Normal	3.64006466464	0.88	1
MII	Change	1.08866969112	1.0	1
MII	Normal	5.6056917661	0.75	1
MII	Normal	2.83006132283	0.15	1
MII	Normal	5.98451294058	0.65	1
MII	Normal	3.08187785919	0.505	2
MII	Normal	0.0	0.67	1
MII	Normal	1.51402332718	0.33	1
MII	Normal	1.03509013974	0.26	1
MII	Normal	4.20078049941	0.73	1
MII	Normal	3.50094014727	0.486666666667	3
MII	Normal	1.13611678638	0.67	1
MII	Change	0.585956101554	1.0	1
MII	Normal	1.13368337839	0.92	1
MII	Normal	0.028588623032	1.0	1
MII	Normal	1.52781128435	0.88	1
MII	Normal	5.54347678042	1.0	1
MII	Normal	0.472467466504	1.0	1
MII	Normal	1.05387290898	0.67	1
MII	Normal	4.90129650522	0.88	1
MII	Normal	1.62477371556	0.2425	4
MII	Normal	4.55240844554	0.7	1
MII	Normal	0.113367077427	1.0	1
MII	Normal	4.83623428677	0.5	1
MII	Change	1.99335927838	0.51	1
MII	Normal	0.9111173731	0.33	1
MII	Normal	1.49636775371	1.0	1
MII	Normal	0.39712240433	0.58	1
MII	Normal	3.01823224015	0.555	2
MII	Normal	0.0183776909878	0.75	2
MII	Normal	1.86917411118	0.67	1
MII	Normal	0.23265972853	0.36	2
MII	Normal	2.96053505528	0.4	1
MII	Normal	0.073409835656	1.0	1
MII	Normal	1.21981170407	1.0	1
MII	Normal	1.36276725656	0.2	1
MII	Normal	2.86894381048	0.5	1
MII	Normal	1.69108609987	0.29	1
MII	Normal	4.94398253954	0.33	1
MII	Normal	0.563607240053	0.73	1
MII	Normal	1.31798875341	0.29	1
MII	Normal	3.93373165824	0.48	1
MII	Normal	1.67943960822	0.6	1
MII	Normal	7.15294990832	0.83	1
MII	Change	2.28658578391	0.47	1
MII	Normal	2.20823155546	1.0	1
MII	Normal	4.05534555782	0.25	1
MII	Normal	5.73214962866	0.795	2
zygote	Change	1.10228221292	0.5	1
zygote	Normal	3.69423508707	0.83	1
