stage	type	level	num
zygote	up	2.33	6
zygote	up	0.67	1
zygote	up	1.0	1
zygote	down	1.0	1
zygote	down	1.0	1
zygote	down	1.0	1
zygote	up	0.25	1
zygote	down	1.49	2
zygote	down	0.33	1
zygote	up	1.0	1
zygote	down	0.29	1
zygote	up	0.46	1
zygote	up	0.67	1
zygote	up	0.67	1
zygote	down	1.29	2
zygote	down	0.79	1
zygote	down	0.84	1
zygote	down	2.0	2
zygote	down	0.51	1
zygote	up	1.0	1
zygote	down	1.0	1
zygote	down	0.5	1
zygote	down	2.0	2
zygote	down	0.85	1
zygote	down	0.67	1
zygote	down	0.75	1
zygote	down	0.98	2
zygote	up	0.73	1
zygote	down	1.0	1
zygote	down	0.83	1
zygote	down	1.0	1
zygote	down	2.0	2
zygote	down	0.75	1
zygote	down	1.0	1
zygote	down	1.18	3
zygote	down	2.28	3
zygote	up	0.75	1
zygote	down	0.84	1
zygote	down	1.0	1
zygote	down	0.83	1
zygote	up	1.0	1
zygote	up	1.5	2
zygote	down	1.0	1
zygote	down	1.5	2
zygote	down	1.0	1
zygote	down	0.73	1
zygote	down	2.0	2
zygote	down	0.17	1
zygote	down	1.0	1
zygote	down	0.71	1
zygote	down	0.73	1
zygote	up	1.0	1
zygote	up	0.45	1
zygote	down	2.0	2
zygote	down	1.2	2
zygote	down	1.0	1
zygote	down	0.33	1
zygote	down	1.0	1
zygote	up	0.78	1
zygote	down	1.0	1
zygote	down	0.67	1
zygote	up	0.67	1
zygote	down	1.0	1
zygote	up	1.0	1
zygote	up	1.0	1
zygote	up	1.2	2
zygote	down	1.74	2
zygote	down	4.67	5
zygote	up	0.67	1
zygote	down	1.0	1
zygote	up	0.51	1
zygote	down	1.0	1
zygote	up	2.0	2
zygote	up	0.2	1
zygote	up	1.0	1
zygote	up	0.5	1
zygote	down	1.0	1
zygote	down	1.0	1
zygote	down	0.67	1
zygote	up	0.67	1
zygote	up	0.5	1
zygote	down	0.58	1
zygote	down	0.67	1
zygote	down	1.47	2
zygote	down	0.86	1
zygote	down	0.64	2
zygote	up	1.0	2
zygote	down	0.5	1
zygote	up	0.67	1
zygote	up	1.0	1
zygote	down	1.0	1
zygote	down	1.0	1
zygote	down	1.0	1
zygote	up	0.74	1
zygote	down	1.0	1
zygote	down	0.81	1
zygote	down	2.0	2
zygote	up	3.0	3
zygote	up	1.0	1
zygote	down	1.0	1
zygote	down	0.87	1
zygote	down	0.5	1
zygote	down	1.0	1
zygote	up	0.67	1
zygote	down	0.83	1
zygote	down	1.5	2
zygote	up	1.67	2
zygote	up	1.0	1
zygote	up	0.22	1
zygote	up	1.0	1
zygote	down	1.0	1
zygote	down	1.0	1
zygote	up	1.0	1
zygote	down	1.83	2
zygote	up	0.67	1
zygote	down	0.51	1
zygote	down	0.33	1
zygote	down	0.66	1
zygote	down	1.0	1
zygote	up	2.0	2
zygote	up	1.0	1
zygote	up	0.5	1
zygote	down	0.98	2
zygote	up	1.0	1
zygote	down	0.8	1
zygote	up	0.83	1
zygote	down	1.0	1
zygote	down	1.0	1
zygote	down	0.83	1
zygote	down	1.94	2
zygote	up	0.18	1
zygote	down	1.53	2
zygote	down	1.0	1
zygote	up	0.69	1
zygote	up	1.0	1
zygote	up	0.83	1
zygote	down	1.0	1
zygote	down	1.04	2
zygote	down	1.58	2
zygote	up	0.75	1
zygote	down	1.0	1
zygote	up	0.78	1
zygote	down	0.51	1
zygote	down	1.0	1
zygote	down	0.5	1
zygote	down	2.0	6
zygote	up	0.19	1
zygote	down	2.0	2
zygote	down	0.75	1
zygote	down	4.0	4
zygote	down	0.86	1
zygote	down	1.0	1
zygote	up	0.4	1
zygote	down	1.0	1
zygote	down	0.9	2
zygote	down	0.67	1
zygote	up	1.39	3
zygote	up	1.76	2
zygote	down	2.33	8
zygote	down	1.38	2
zygote	up	0.67	1
zygote	up	0.67	1
zygote	down	1.55	2
zygote	down	0.84	1
zygote	up	1.42	2
zygote	down	0.4	1
zygote	down	1.0	1
zygote	up	0.81	1
zygote	down	1.25	2
zygote	down	0.82	1
zygote	up	2.0	2
zygote	down	0.84	1
zygote	down	0.83	1
zygote	up	1.5	2
zygote	up	1.0	1
zygote	up	0.45	1
zygote	up	0.4	1
zygote	down	1.5	2
zygote	up	1.0	1
zygote	down	2.48	3
zygote	up	0.76	1
zygote	up	1.67	2
zygote	up	0.84	1
zygote	down	0.5	1
zygote	up	0.92	1
zygote	down	0.5	1
zygote	up	0.5	1
zygote	down	1.0	1
zygote	down	1.0	1
zygote	up	0.81	1
zygote	down	0.3	1
zygote	down	0.69	1
zygote	down	2.0	2
